,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7300 · Repairs & Maintenance,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7300 Repairs & Maintenance,General Journal,,06/05/2019,,10131,,,,Andy's Lock  - copy of keys,,,,,,2500 · N/P-  Joshua Smith,,11.99,,,,11.99
,,,,,,,7300 Repairs & Maintenance,General Journal,,07/01/2019,,10127,,,,apex - blades,,,,,,2500 · N/P-  Joshua Smith,,30.50,,,,42.49
,,,,,,,7300 Repairs & Maintenance,Check,,07/12/2019,,,,apex saw,,093339  07/12,,,,,,1010 · Chase 9063 -720,,47.90,,,,90.39
,,,,,,,7300 Repairs & Maintenance,Credit Card Charge,,09/26/2019,,,,Dewalt Factory Service,,,,,,,,1430 · Chase CC 1410,,76.79,,,,167.18
,,,,,,,7300 Repairs & Maintenance,Check,,12/04/2019,,,,Andy's Lock & Key,,12/03,,,,,,1010 · Chase 9063 -720,,8.99,,,,176.17
,,,,,,,7300 Repairs & Maintenance,Credit Card Charge,,12/18/2019,,,,apex saw,,,,,,,,1430 · Chase CC 1410,,20.00,,,,196.17
,,,,,,,7300 Repairs & Maintenance,Check,,05/27/2020,,,,apex saw,,130151  05/27,,,,,,1010 · Chase 9063 -720,,"1,012.92",,,,"1,209.09"
,,,,,,,7300 Repairs & Maintenance,Check,,07/02/2020,,,,apex saw,,134538  07/02,,,,,,1010 · Chase 9063 -720,,813.04,,,,"2,022.13"
,,,,Total 7300 · Repairs & Maintenance,,,,,,,,,,,,,,,,,,,,"2,022.13",,0.00,,"2,022.13"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
