,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7900 · Travel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7900 Travel,Check,,05/12/2020,,,,Courtyard,,UT          05/12,,,,,,1010 · Chase 9063 -720,,121.83,,,,121.83
,,,,,,,7900 Travel,Check,,05/13/2020,,,,Comfort Inn,,05/11,,,,,,1010 · Chase 9063 -720,,140.61,,,,262.44
,,,,,,,7900 Travel,Credit Card Charge,,06/19/2020,,,,REServations.com,,,,,,,,1430 · Chase CC 1410,,19.99,,,,282.43
,,,,,,,7900 Travel,Credit Card Charge,,06/19/2020,,,,Hotel Reservations.com,,,,,,,,1430 · Chase CC 1410,,214.10,,,,496.53
,,,,,,,7900 Travel,Credit Card Charge,,07/05/2020,,,,The Cupertino Hotel,,,,,,,,1430 · Chase CC 1410,,151.89,,,,648.42
,,,,,,,7900 Travel,Credit Card Charge,,07/05/2020,,,,The Cupertino Hotel,,,,,,,,1430 · Chase CC 1410,,19.04,,,,667.46
,,,,,,,7900 Travel,Check,,07/06/2020,,,,Meeks Bay Resort,,07/04,,,,,,1010 · Chase 9063 -720,,73.98,,,,741.44
,,,,,,,7900 Travel,Credit Card Charge,,07/06/2020,,,,The Cupertino Hotel,,,,,,,,1430 · Chase CC 1410,,160.50,,,,901.94
,,,,,,,7900 Travel,Check,,07/20/2020,,,,Snow.com,,95 CO        07/19,,,,,,1010 · Chase 9063 -720,,838.00,,,,"1,739.94"
,,,,Total 7900 · Travel,,,,,,,,,,,,,,,,,,,,"1,739.94",,0.00,,"1,739.94"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
