,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7210 · Postage & Shipping,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7210 Postage & Shipping,Check,,06/26/2019,,,,UPS,,GA          06/25,,,,,,1010 · Chase 9063 -720,,20.89,,,,20.89
,,,,,,,7210 Postage & Shipping,Check,,06/26/2019,,,,UPS,,GA          06/25,,,,,,1010 · Chase 9063 -720,,55.66,,,,76.55
,,,,,,,7210 Postage & Shipping,Check,,08/13/2019,,,,UPS,,GA          08/12,,,,,,1010 · Chase 9063 -720,,84.70,,,,161.25
,,,,,,,7210 Postage & Shipping,Check,,08/13/2019,,,,UPS,,GA          08/12,,,,,,1010 · Chase 9063 -720,,34.83,,,,196.08
,,,,,,,7210 Postage & Shipping,Credit Card Charge,,08/25/2019,,,,UPS,,,,,,,,1430 · Chase CC 1410,,5.52,,,,201.60
,,,,,,,7210 Postage & Shipping,Credit Card Charge,,09/04/2019,,,,Mail Boxes etc,,,,,,,,1430 · Chase CC 1410,,11.16,,,,212.76
,,,,,,,7210 Postage & Shipping,Check,,10/10/2019,,,,UPS,,GA          10/09,,,,,,1010 · Chase 9063 -720,,34.83,,,,247.59
,,,,,,,7210 Postage & Shipping,Check,,10/10/2019,,,,UPS,,GA          10/09,,,,,,1010 · Chase 9063 -720,,2.39,,,,249.98
,,,,,,,7210 Postage & Shipping,Check,,10/10/2019,,,,UPS,,GA          10/09,,,,,,1010 · Chase 9063 -720,,2.09,,,,252.07
,,,,,,,7210 Postage & Shipping,Check,,10/10/2019,,,,UPS,,GA          10/09,,,,,,1010 · Chase 9063 -720,,39.91,,,,291.98
,,,,,,,7210 Postage & Shipping,Check,,10/22/2019,,,,UPS,,10/22,,,,,,1010 · Chase 9063 -720,,14.01,,,,305.99
,,,,,,,7210 Postage & Shipping,Check,,11/20/2019,,,,UPS,,GA          11/19,,,,,,1010 · Chase 9063 -720,,2.21,,,,308.20
,,,,,,,7210 Postage & Shipping,Check,,11/20/2019,,,,UPS,,GA          11/19,,,,,,1010 · Chase 9063 -720,,36.84,,,,345.04
,,,,,,,7210 Postage & Shipping,Check,,11/20/2019,,,,UPS,,GA          11/19,,,,,,1010 · Chase 9063 -720,,31.32,,,,376.36
,,,,,,,7210 Postage & Shipping,Check,,11/20/2019,,,,UPS,,GA          11/19,,,,,,1010 · Chase 9063 -720,,1.88,,,,378.24
,,,,,,,7210 Postage & Shipping,Check,,02/05/2020,,,,,,GA          02/04,,,,,,1010 · Chase 9063 -720,,19.96,,,,398.20
,,,,,,,7210 Postage & Shipping,Check,,02/05/2020,,,,UPS,,GA          02/04,,,,,,1010 · Chase 9063 -720,,38.06,,,,436.26
,,,,,,,7210 Postage & Shipping,Check,,02/05/2020,,,,UPS,,GA          02/04,,,,,,1010 · Chase 9063 -720,,34.17,,,,470.43
,,,,,,,7210 Postage & Shipping,Check,,02/13/2020,,,,UShip,,02/12,,,,,,1010 · Chase 9063 -720,,297.09,,,,767.52
,,,,,,,7210 Postage & Shipping,Check,,03/09/2020,,,,FED -  EX,,03/07,,,,,,1010 · Chase 9063 -720,,27.02,,,,794.54
