,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7200 · Office Supplies,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7200 Office Supplies,Check,,02/05/2019,,,,Checkbuilderpro,,,,,,,,1200 · Checking BOA 6959 MG,,39.95,,,,39.95
,,,,,,,7200 Office Supplies,Check,,03/07/2019,,,,VISTA PRINT,,,,,,,,1200 · Checking BOA 6959 MG,,112.59,,,,152.54
,,,,,,,7200 Office Supplies,Check,,03/12/2019,,,,UPWORK,,,,,,,,1200 · Checking BOA 6959 MG,,0.51,,,,153.05
,,,,,,,7200 Office Supplies,Check,,04/01/2019,,,,amazon,,ll WA        04/01,,,,,,1010 · Chase 9063 -720,,14.50,,,,167.55
,,,,,,,7200 Office Supplies,Check,,04/01/2019,,,,amazon,,ll WA        04/01,,,,,,1010 · Chase 9063 -720,,13.92,,,,181.47
,,,,,,,7200 Office Supplies,Check,,06/11/2019,,,,OFFICE DEPOT,,736509  06/11,,,,,,1010 · Chase 9063 -720,,63.83,,,,245.30
,,,,,,,7200 Office Supplies,Check,,06/13/2019,,,,Checksforless,,E            06/12,,,,,,1010 · Chase 9063 -720,,30.95,,,,276.25
,,,,,,,7200 Office Supplies,Check,,07/08/2019,,,,amazon,,,,,,,,1000 · Checking BOA 2589,,12.99,,,,289.24
,,,,,,,7200 Office Supplies,Credit Card Charge,,09/01/2019,,,,OFFICE DEPOT,,,,,,,,1430 · Chase CC 1410,,342.81,,,,632.05
,,,,,,,7200 Office Supplies,Check,,10/10/2019,,,,amazon,,ll WA        10/10,,,,,,1010 · Chase 9063 -720,,16.24,,,,648.29
,,,,,,,7200 Office Supplies,Check,,10/10/2019,,,,amazon,,ll WA        10/10,,,,,,1010 · Chase 9063 -720,,32.43,,,,680.72
,,,,,,,7200 Office Supplies,Deposit,,10/11/2019,,,,amazon,,10/11,,,,,,1010 · Chase 9063 -720,,,,16.24,,664.48
,,,,,,,7200 Office Supplies,Check,,10/28/2019,,,,Checksforless,,E            10/25,,,,,,1010 · Chase 9063 -720,,23.95,,,,688.43
,,,,,,,7200 Office Supplies,Check,,11/01/2019,,,,amazon,,ll WA        10/31,,,,,,1010 · Chase 9063 -720,,6.46,,,,694.89
,,,,,,,7200 Office Supplies,Check,,11/07/2019,,,,amazon,,ll WA        11/07,,,,,,1010 · Chase 9063 -720,,62.55,,,,757.44
,,,,,,,7200 Office Supplies,Check,,12/20/2019,,,,amazon,,ll WA        11/07,,,,,,1010 · Chase 9063 -720,,129.91,,,,887.35
,,,,,,,7200 Office Supplies,Check,,03/06/2020,,,,Best Buy,,206387  03/06,,,,,,1010 · Chase 9063 -720,,302.38,,,,"1,189.73"
,,,,,,,7200 Office Supplies,Check,,03/30/2020,,,,Best Buy,,03/29,,,,,,1010 · Chase 9063 -720,,216.52,,,,"1,406.25"
,,,,,,,7200 Office Supplies,Check,,04/06/2020,,,,Best Buy,,04/04,,,,,,1010 · Chase 9063 -720,,184.04,,,,"1,590.29"
,,,,,,,7200 Office Supplies,Check,,05/15/2020,,,,OFFICE DEPOT,,345166  05/15,,,,,,1010 · Chase 9063 -720,,435.71,,,,"2,026.00"
,,,,,,,7200 Office Supplies,Check,,06/18/2020,,,,Coffee Cafe,,CA           06/18,,,,,,1010 · Chase 9063 -720,,31.61,,,,"2,057.61"
,,,,,,,7200 Office Supplies,General Journal,,06/25/2020,,010119-30sc,,,,Office Depot - Josh's Personal Card,,,,,,2500 · N/P-  Joshua Smith,,162.89,,,,"2,220.50"
,,,,,,,7200 Office Supplies,Check,,07/09/2020,,,,GO KEY LESS,,07/08,,,,,,1010 · Chase 9063 -720,,"1,670.87",,,,"3,891.37"
,,,,,,,7200 Office Supplies,Credit Card Credit,,07/19/2020,,,,OFFICE DEPOT,,,,,,,,1430 · Chase CC 1410,,,,86.60,,"3,804.77"
,,,,,,,7200 Office Supplies,Credit Card Charge,,09/04/2020,,,,Best Buy,,,,,,,,1430 · Chase CC 1410,,24.89,,,,"3,829.66"
,,,,,,,7200 Office Supplies,Credit Card Charge,,09/13/2020,,,,HOME DEPOT,,,,,,,,1430 · Chase CC 1410,,20.92,,,,"3,850.58"
,,,,Total 7200 · Office Supplies,,,,,,,,,,,,,,,,,,,,"3,953.42",,102.84,,"3,850.58"
