,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7360 · Small Tools,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7360 Small Tools,Check,,03/20/2019,,,,HOME DEPOT,,,,,,,,1000 · Checking BOA 2589,,182.97,,,,182.97
,,,,,,,7360 Small Tools,Deposit,,03/21/2019,,,,HOME DEPOT,,,,,,,,1000 · Checking BOA 2589,,,,182.97,,0.00
,,,,,,,7360 Small Tools,Check,,04/08/2019,,,,apex saw,,164019  04/08,,,,,,1010 · Chase 9063 -720,,117.94,,,,117.94
,,,,,,,7360 Small Tools,General Journal,,04/27/2019,,10130,,,,Home Depot,,,,,,2500 · N/P-  Joshua Smith,,363.43,,,,481.37
,,,,,,,7360 Small Tools,Check,,04/29/2019,,,,amazon,,ll WA        04/26,,,,,,1010 · Chase 9063 -720,,54.75,,,,536.12
,,,,,,,7360 Small Tools,Check,,05/08/2019,,,,Harbor Freight,,00 CA        05/07,,,,,,1010 · Chase 9063 -720,,201.74,,,,737.86
,,,,,,,7360 Small Tools,Check,,05/14/2019,,,,Maxum Hardware,,,,,,,,1010 · Chase 9063 -720,,256.16,,,,994.02
,,,,,,,7360 Small Tools,Check,,05/20/2019,,,,amazon,,ll WA        05/20,,,,,,1010 · Chase 9063 -720,,266.88,,,,"1,260.90"
,,,,,,,7360 Small Tools,Check,,05/22/2019,,,,amazon,,ll WA        05/21,,,,,,1010 · Chase 9063 -720,,215.40,,,,"1,476.30"
,,,,,,,7360 Small Tools,Check,,06/26/2019,,,,HOME DEPOT,,NV  070899  06/26,,,,,,1010 · Chase 9063 -720,,479.21,,,,"1,955.51"
,,,,,,,7360 Small Tools,Check,,07/18/2019,,,,,,ll WA        07/18,,,,,,1010 · Chase 9063 -720,,18.63,,,,"1,974.14"
,,,,,,,7360 Small Tools,Credit Card Charge,,07/29/2019,,,,HOME DEPOT,,,,,,,,1430 · Chase CC 1410,,367.46,,,,"2,341.60"
,,,,,,,7360 Small Tools,Credit Card Charge,,08/13/2019,,,,HOME DEPOT,,,,,,,,1430 · Chase CC 1410,,18.31,,,,"2,359.91"
,,,,,,,7360 Small Tools,Deposit,,08/23/2019,,,,HOME DEPOT,,401837  08/23,,,,,,1010 · Chase 9063 -720,,,,320.23,,"2,039.68"
