,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7179 · Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7179 Miscellaneous,Credit Card Charge,,02/25/2019,,,,MODULAR GREENHOUSES,,"Cap One statement not available, unable to verify transaction payee",,,,,,1420 · Capital One,,"1,874.96",,,,"1,874.96"
,,,,,,,7179 Miscellaneous,Check,,04/22/2020,,,,amazon,,,,,,,,1010 · Chase 9063 -720,,326.96,,,,"2,201.92"
,,,,,,,7179 Miscellaneous,Check,,04/27/2020,,,,amazon,,,,,,,,1010 · Chase 9063 -720,,12.99,,,,"2,214.91"
,,,,,,,7179 Miscellaneous,Check,,04/30/2020,,,,amazon,,,,,,,,1010 · Chase 9063 -720,,411.20,,,,"2,626.11"
,,,,,,,7179 Miscellaneous,Check,,04/30/2020,,,,amazon,,,,,,,,1010 · Chase 9063 -720,,39.99,,,,"2,666.10"
,,,,,,,7179 Miscellaneous,Check,,05/08/2020,,,,amazon,,ll WA        05/08,,,,,,1010 · Chase 9063 -720,,87.90,,,,"2,754.00"
,,,,,,,7179 Miscellaneous,Check,,05/26/2020,,,,amazon,,ll WA        05/24,,,,,,1010 · Chase 9063 -720,,12.99,,,,"2,766.99"
,,,,,,,7179 Miscellaneous,Check,,06/11/2020,,,,amazon,,L WA         06/10,,,,,,1010 · Chase 9063 -720,,39.99,,,,"2,806.98"
,,,,,,,7179 Miscellaneous,Check,,06/25/2020,,,,amazon,,ll WA        06/24,,,,,,1010 · Chase 9063 -720,,12.99,,,,"2,819.97"
,,,,,,,7179 Miscellaneous,Credit Card Charge,,06/28/2020,,,,amazon,,,,,,,,1430 · Chase CC 1410,,241.96,,,,"3,061.93"
,,,,,,,7179 Miscellaneous,Credit Card Charge,,06/28/2020,,,,amazon,,,,,,,,1430 · Chase CC 1410,,139.99,,,,"3,201.92"
,,,,,,,7179 Miscellaneous,Check,,07/03/2020,,,,amazon,,ll WA        07/03,,,,,,1010 · Chase 9063 -720,,22.68,,,,"3,224.60"
,,,,,,,7179 Miscellaneous,Check,,07/06/2020,,,,amazon,,ll WA        07/05,,,,,,1010 · Chase 9063 -720,,13.94,,,,"3,238.54"
,,,,,,,7179 Miscellaneous,Check,,07/09/2020,,,,amazon,,L WA         07/08,,,,,,1010 · Chase 9063 -720,,39.99,,,,"3,278.53"
,,,,,,,7179 Miscellaneous,Check,,07/27/2020,,,,amazon,,ll WA        07/24,,,,,,1010 · Chase 9063 -720,,12.99,,,,"3,291.52"
,,,,,,,7179 Miscellaneous,Credit Card Charge,,07/29/2020,,,,amazon,,,,,,,,1430 · Chase CC 1410,,9.99,,,,"3,301.51"
,,,,,,,7179 Miscellaneous,Credit Card Charge,,07/31/2020,,,,amazon,,,,,,,,1430 · Chase CC 1410,,109.99,,,,"3,411.50"
,,,,,,,7179 Miscellaneous,Check,,08/06/2020,,,,amazon,,L WA         08/05,,,,,,1010 · Chase 9063 -720,,39.99,,,,"3,451.49"
,,,,,,,7179 Miscellaneous,Check,,08/24/2020,,,,amazon,,ll WA        08/22,,,,,,1010 · Chase 9063 -720,,10.80,,,,"3,462.29"
,,,,,,,7179 Miscellaneous,Check,,08/25/2020,,,,amazon,,ll WA        08/24,,,,,,1010 · Chase 9063 -720,,12.99,,,,"3,475.28"
,,,,,,,7179 Miscellaneous,Check,,09/03/2020,,,,amazon,,L WA         09/02,,,,,,1010 · Chase 9063 -720,,39.99,,,,"3,515.27"
,,,,,,,7179 Miscellaneous,Check,,09/10/2020,,,,amazon,,ll WA        09/10,,,,,,1010 · Chase 9063 -720,,19.48,,,,"3,534.75"
,,,,,,,7179 Miscellaneous,Check,,09/25/2020,,,,amazon,,ll WA        09/24,,,,,,1010 · Chase 9063 -720,,12.99,,,,"3,547.74"
,,,,Total 7179 · Miscellaneous,,,,,,,,,,,,,,,,,,,,"3,547.74",,0.00,,"3,547.74"
