,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,6600 · Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6600 Health Insurance,Check,,06/28/2019,,,,PROminence Health,,79 NV        06/27,,,,,,1010 · Chase 9063 -720,,"4,574.72",,,,"4,574.72"
,,,,,,,6600 Health Insurance,Check,,07/01/2019,,,,PROminence Health,,79 NV        06/28,,,,,,1010 · Chase 9063 -720,,"1,800.00",,,,"6,374.72"
,,,,,,,6600 Health Insurance,Check,,07/17/2019,,,,PROminence Health,,79 NV        07/16,,,,,,1010 · Chase 9063 -720,,"1,800.00",,,,"8,174.72"
,,,,,,,6600 Health Insurance,Check,,08/05/2019,,,,Kansas City Life,,Dental & Vision,,,,,,1010 · Chase 9063 -720,,"1,498.76",,,,"9,673.48"
,,,,,,,6600 Health Insurance,Check,,08/19/2019,,,,PROminence Health,,79 NV        08/16,,,,,,1010 · Chase 9063 -720,,"1,800.00",,,,"11,473.48"
,,,,,,,6600 Health Insurance,Check,,09/04/2019,,,,Kansas City Life,,678         WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,374.69,,,,"11,848.17"
,,,,,,,6600 Health Insurance,Check,,09/18/2019,,,,PROminence Health,,79 NV        09/17,,,,,,1010 · Chase 9063 -720,,"1,800.00",,,,"13,648.17"
,,,,,,,6600 Health Insurance,Check,,10/03/2019,,,,Kansas City Life,,734         WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,374.69,,,,"14,022.86"
,,,,,,,6600 Health Insurance,Check,,11/05/2019,,,,PROminence Health,,79 NV        11/04,,,,,,1010 · Chase 9063 -720,,"1,246.23",,,,"15,269.09"
,,,,,,,6600 Health Insurance,Check,,11/18/2019,,,,PROminence Health,,79 NV        11/16,,,,,,1010 · Chase 9063 -720,,"1,800.00",,,,"17,069.09"
,,,,,,,6600 Health Insurance,Check,,12/03/2019,,,,Kansas City Life,,2398        WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,146.78,,,,"17,215.87"
,,,,,,,6600 Health Insurance,Check,,01/03/2020,,,,Kansas City Life,,4348        WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,224.04,,,,"17,439.91"
,,,,,,,6600 Health Insurance,Check,,02/04/2020,,,,,,1845        WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,224.04,,,,"17,663.95"
,,,,,,,6600 Health Insurance,Check,,03/03/2020,,,,Kansas City Life,,1033        WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,224.04,,,,"17,887.99"
,,,,,,,6600 Health Insurance,Check,,04/03/2020,,,,Kansas City Life,,0385        WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,224.04,,,,"18,112.03"
,,,,,,,6600 Health Insurance,Check,,05/05/2020,,,,Kansas City Life,,1579        WEB ID: 1440308260,,,,,,1010 · Chase 9063 -720,,224.04,,,,"18,336.07"
,,,,,,,6600 Health Insurance,Check,,06/03/2020,,,,Kansas City Life,,ORIG ID:1440308260 DESC DATE:200,,,,,,1010 · Chase 9063 -720,,224.04,,,,"18,560.11"
,,,,,,,6600 Health Insurance,Check,,07/06/2020,,,,Kansas City Life,,ORIG ID:1440308260 DESC DATE:200,,,,,,1010 · Chase 9063 -720,,224.04,,,,"18,784.15"
,,,,,,,6600 Health Insurance,Check,,09/03/2020,,,,Kansas City Life,,ORIG ID:1440308260 DESC DATE:200,,,,,,1010 · Chase 9063 -720,,61.44,,,,"18,845.59"
,,,,Total 6600 · Health Insurance,,,,,,,,,,,,,,,,,,,,"18,845.59",,0.00,,"18,845.59"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
